,,Avg. Grade,Std. Dev,Std. Err
STEM,Midterm #1,83.57,8.27,3.13
STEM,Midterm #2,88.93,3.49,1.32
STEM,Final Exam,84.64,9.88,3.74
STEM,Final Grade,91.58,12.32,4.66
Non-STEM,Midterm #1,76.25,9.54,3.37
Non-STEM,Midterm #2,82.19,7.13,2.52
Non-STEM,Final Exam,74.58,6.77,2.39
Non-STEM,Final Grade,89.67,5.76,2.04
Undeclared,Midterm #1,72.5,10.61,7.5
Undeclared,Midterm #2,90.0,3.54,2.5
Undeclared,Final Exam,84.16,1.18,0.84
Undeclared,Final Grade,94.9,0.33,0.23
Female,Midterm #1,75.0,12.12,5.42
Female,Midterm #2,88.5,5.48,2.45
Female,Final Exam,79.67,11.63,5.2
Female,Final Grade,92.37,7.17,3.21
Male,Midterm #1,79.55,8.13,2.45
Male,Midterm #2,84.32,6.72,2.03
Male,Final Exam,78.56,7.34,2.21
Male,Final Grade,89.69,9.37,2.83
